Number,Title,Type,Culture,set,group,Twilight,STR,HP,RES,Signate,Site,Game text,Key Word 1,Key Word 2,Key Word 3,,Link
0D5,"•Theodred, Second Marshal of the Mark (D)",Companion • Man,Rohan,0,,2,6,3,6,,,"While you can spot a [Rohan] Man who has resistance of 7 or more, Theodred is twilight cost -1. At the start of each skirmish involving Theodred, you may exert each minion he is skirmishing. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d05
0D6,"•Elendil, High-King of Gondor (D)",Companion • Man,Gondor,0,,5,8,5,6,,,"Knight. To play, spot 2 [Gondor] knights or exert 2 [Gondor] men. Each of your [Gondor] companions is resistance +1. Maneuver: Remove a [Gondor] token to make an unbound companion resistance +1 until the regroup phase. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d06
0D7,Ordnance Grunt (D),Minion • Troll,Orc,0,,6,12,3,5,,,"Damage +1. Fierce. To play, spot an [Orc] minion. Shadow: Discard an [Orc] condition from play to play this minion from your discard pile.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d07
0D8,"•Cave Troll of Moria, Menace of the Underdeeps (D)",Minion • Troll,Moria,0,,10,15,3,8,,,"Damage +1. Fierce. To play, spot a [Moria] Orc. Menace - When you play this minion you may draw 3 cards. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d08c
0D8,"•Bilbo, Aged Ring-bearer (D)",Companion • Hobbit,Shire,0,,2,3,4,8,,,"Ring-bound. While Bilbo is not assigned to a skirmish, each Ring-bound Hobbit is strength +1. At the start of each skirmish involving Bilbo, you may remove a burden for each other Ring-bound Hobbit you can spot.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d08b
0P1,The Prancing Pony (P),Site,Site,0,,1,,,,,1,"Fellowship: Add a burden to play Aragorn from your draw deck. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00001
0P10,"•The Balrog, Durin's Bane (P)",Minion • Balrog,Moria,0,,12,17,5,4,,,"Damage +1. Fierce. While you can spot The Balrog, discard all other minions. Skip the archery phase. Discard The Balrog if not underground.
",,,,,https://lotrtcgwiki.com/wiki/lotr00010
0P100,"•The Mouth of Sauron, Messenger of Mordor (P)",Minion • Man,Men,0,,3,9,3,5,,,"Maneuver: Exert The Mouth of Sauron to play a [Men] condition or [Men] possession from your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr00100
0P101,"•Orophin, Brother of Haldir (P)",Companion • Elf,Elven,0,,2,6,3,6,,,"While Orophin is at a forest site and you can spot another Elf, Orophin is an archer.
",,,,,https://lotrtcgwiki.com/wiki/lotr00101
0P102,"•Grima, Footman of Saruman (P)",Minion • Man,Men,0,,2,4,3,3,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Each time a Free Peoples character is killed, you may spot another [Men] minion to exert each companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr00102
0P103,"•Ulaire Otsea, Zwarte Schim (P)",Minion • Nazgul,Wraith,0,,4,9,3,3,,,"Shadow: Exert Ulaire Otsea and discard a [Ringwraith] condition from hand to discard a Free Peoples condition from play.
",,,,,https://lotrtcgwiki.com/wiki/lotr00103
0P104,"•Saruman, Of Many Colours (P)",Minion • Wizard,Isengard,0,,4,8,4,4,,,"Damage +1. Fierce. Lurker. (Skirmishes involving lurker minions must be resolved after any others.) When you play Saruman, name a culture. Each companion of the named culture is strength -1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00104
0P105,"•Ulaire Otsea, Seventh of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,4,9,3,3,,,"When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [Ringwraith] card revealed this way into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr00105
0P106,"•Hama, Captain of the King's Guard (P)",Companion • Man,Rohan,0,,2,6,3,6,,,"Hama is strength +1 for each Shadow possession you can spot. Each time Hama wins a skirmish, you may discard a possession from play.
",,,,,https://lotrtcgwiki.com/wiki/lotr00106
0P107,Guard of the White Tree (P),Companion • Man,Gondor,0,,3,7,3,5,,,"Knight. Skirmish: Discard a [Gondor] condition from your support area to make this companion strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00107
0P108,"•The Witch-king, Captain of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,8,14,4,3,,,"Fierce. Toil 2. (For each [Ringwraith] character you exert when playing this, its twilight cost is -2.) Muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.)
",,,,,https://lotrtcgwiki.com/wiki/lotr00108
0P109,"•Ulaire Attea, Second of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,6,12,3,3,,,"Fierce. Each time Ulaire Attea is assigned to a fierce skirmish involving a character who has resistance 4 or less, you may exert Ulaire Attea to add a burden.
",,,,,https://lotrtcgwiki.com/wiki/lotr00109
0P11,"•Saruman, Servant of the Eye (P)",Minion • Wizard,Isengard,0,,4,8,4,4,,,"Saruman may not take wounds during the archery phase and may not be assigned to a skirmish. Assignment: Exert Saruman to assign an [Isengard] minion to a companion (except the Ring-bearer). That companion may exert to prevent this.
",,,,,https://lotrtcgwiki.com/wiki/lotr00011
0P110,"•Ulaire Nelya, Third of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,5,10,3,2,,,"Fierce. Shadow: Exert Ulaire Nelya to replace the fellowship&#039;s current site with a site from your adventure deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr00110
0P111,"•Ulaire Cantea, Fourth of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,5,10,3,3,,,"While Ulaire Cantea is at a forest or dwelling site, he is strength +2 and fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr00111
0P112,"•Ulaire Lemenya, Fifth of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,4,9,2,3,,,"Each character skirmishing Ulaire Lemenya who has resistance 5 or less is strength -3.
",,,,,https://lotrtcgwiki.com/wiki/lotr00112
0P113,"•Ulaire Enquea, Sixth of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,6,11,4,3,,,"Fierce. When you play Ulaire Enquea, if you can spot 2 other Nazgul, you may exert 2 unbound companions (or exert each companion if you can spot 6 companions).
",,,,,https://lotrtcgwiki.com/wiki/lotr00113
0P114,"•Ulaire Otsea, Seventh of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,4,9,3,3,,,"When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [Ringwraith] card revealed this way into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr00114
0P115,"•Ulaire Toldea, Eighth of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,6,12,3,3,,,"Fierce. Each time Ulaire Toldea wins a skirmish, you may play the fellowship&#039;s next site.
",,,,,https://lotrtcgwiki.com/wiki/lotr00115
0P116,"•Ulaire Nertea, Ninth of the Nine Riders (P)",Minion • Nazgul,Wraith,0,,4,9,2,3,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) While Ulaire Nertea is at a forest site, he is strength +2. While you can spot 6 companions, each Nazgul is strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00116
0P117,"•Faramir, Prince of Ithilien (P)",Companion • Man,Gondor,0,,3,7,3,7,,,"While you can spot Boromir, Faramir is twilight cost -1. While you can spot Denethor, Faramir is twilight cost -1. While Faramir bears a [Gondor] possession, he is defender +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00117
0P118,"•Eowyn, Restless Warrior (P)",Companion • Man,Rohan,0,,2,6,3,6,,,"Each possession you play on Eowyn during the fellowship phase is twilight cost -1. Each time the fellowship moves during the regroup phase, you may reinforce a [Rohan] token (or reinforce 2 [Rohan] tokens if you can spot Eomer or Theoden).
",,,,,https://lotrtcgwiki.com/wiki/lotr00118
0P119,"•Isildur, Heir of Elendil (P)",Companion • Man,Gondor,0,,3,7,3,1,,,"Knight. Isildur is resistance +1 for each card in your hand. At the end of any phase, if Isildur has resistance 0, place him in your dead pile. Each time you reconcile, you may draw a card.
",,,,,https://lotrtcgwiki.com/wiki/lotr00119
0P12,"•Gimli, Son of Gloin (P)",Companion • Dwarf,Dwarven,0,123,2,6,3,6,Gandalf,,"Damage +1. Skirmish: Exert Gimli to make him strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00012
0P120,Isengard Marauder (P),Minion • Orc,Orc,0,,2,12,2,4,,,"To play, discard 3 cards from your hand. While you can spot 2 other [Orc] minions, this minion is fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr00120
0P121,Covetous Uruk (P),Minion • Uruk-Hai,Uruk-hai,0,,4,8,2,5,,,"Damage +1. This minion is strength +1 for each possession you spot.
",,,,,https://lotrtcgwiki.com/wiki/lotr00121
0P122,"•Haldir, Sentry of the Golden Wood (P)",Companion • Elf,Elven,0,,2,5,3,6,,,"To play, spot an Elf. While the fellowship is at a battleground site, Haldir is strength +2. While the fellowship is at a forest site, Haldir is an archer.
",,,,,https://lotrtcgwiki.com/wiki/lotr00122
0P123,"•Gimli, Eager Hunter (P)",Companion • Dwarf,Dwarven,0,116,2,6,3,6,,,"Damage +1. Hunter 3. (While skirmishing a non-hunter character, this character is strength +3.)
",,,,,https://lotrtcgwiki.com/wiki/lotr00123
0P124,"•Legolas, Fleet-footed Hunter (P)",Companion • Elf,Elven,0,,2,6,3,6,,,"Hunter 1. (While skirmishing a non-hunter character, this character is strength +1.) Regroup: Exert 2 hunter companions to draw a card.
",,,,,https://lotrtcgwiki.com/wiki/lotr00124
0P125,"•Aragorn, Swift Hunter (P)",Companion • Man,Gondor,0,,4,8,4,8,,,"Ranger. Hunter 1. (While skirmishing a non-hunter character, this character is strength +1.) Skirmish: Exert Aragorn to make a hunter companion strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00125
0P126,"•Lurtz, Now Perfected (P)",Minion • Uruk-Hai,Uruk-hai,0,,7,13,3,,,,"Damage +1. Each time Lurtz wins a skirmish, the Free People's player must exert X companions, where X is the current region number.
",,,,,https://lotrtcgwiki.com/wiki/lotr00126
0P127,"•Aragorn, Defender of Rohan (P)",Companion • Man,Rohan,0,,4,8,4,6,,,"Valiant. While the Ringbearer is assigned to a skirmish, each [Rohan] companion gains hunter 1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00127
0P128,Primitive Brand (P),Possession • Hand Weapon,Men,0,,1,+2,,,,,"Bearer must be a [Men] minion. Each time bearer wins a skirmish you may transfer this possession to another [Men] minion. If you do, stack a [Men] minion from play on a [Men] possession in your support area.
",,,,,https://lotrtcgwiki.com/wiki/lotr00128
0P129,"•Watcher at Sarn Ford, Ranger of the North (P)",Companion • Man,Gondor,0,,2,5,3,8,,,"Ranger. Skirmish: Exert a [Gondor] Man with a resistance 6 or more to make that Man strength +3.
",,,,,https://lotrtcgwiki.com/wiki/lotr00129
0P13,"•Legolas, Greenleaf (P)",Companion • Elf,Elven,0,,2,6,3,6,o,,"Archer. Archery: Exert Legolas to wound a minion; Legolas does not add to the fellowship archery total.
",,,,,https://lotrtcgwiki.com/wiki/lotr00013
0P14,"•Aragorn, Ranger of the North (P)",Companion • Man,Gondor,0,,4,8,4,6,Gandalf,,"Ranger. Maneuver: Exert Aragorn to make him defender +1 until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr00014
0P15,"•Legolas, Son of Thranduil (P)",Companion • Elf,Elven,0,,2,6,3,6,Aragorn,,"Archer. While Legolas is at a river or forest, add 1 to the fellowship archery total.
",,,,,https://lotrtcgwiki.com/wiki/lotr00015
0P16,"•Faramir, Son of Denethor (P)",Companion • Man,Gondor,0,,3,7,3,6,o,,"Ring-bound. Ranger. An opponent may not play skirmish events or use skirmish special abilities during skirmishes involving Faramir.
",,,,,https://lotrtcgwiki.com/wiki/lotr00016
0P17,"•Eowyn, Lady of Rohan (P)",Companion • Man,Rohan,0,,2,6,3,6,Theoden,,"Valiant. Response: If an unbound companion is about to take a wound, exert Eowyn and add (1) to prevent that wound.
",,,,,https://lotrtcgwiki.com/wiki/lotr00017
0P18,"•Smeagol, Old Noser (P)",Companion,Gollum,0,,0,3,4,6,o,,"Ring-bound. To play add a burden. Regroup: Exert Smeagol (or Gollum) twice to reveal the top 4 cards of your draw deck. Wound a minion for each Shadow card revealed. Place those 4 cards beneath your draw deck in any order.
",,,,,https://lotrtcgwiki.com/wiki/lotr00018
0P19,"•Theoden, King of the Golden Hall (P)",Companion • Man,Rohan,0,,2,6,2,6,Gandalf,,"Valiant. Maneuver: Play a [Rohan] possession on Theoden to heal a [Rohan] ally.
",,,,,https://lotrtcgwiki.com/wiki/lotr00019
0P2,•Bill the Pony (P),Possession,Shire,0,,0,,,,,,"Bearer must be a Hobbit companion. The Shadow number of each site is -1. Discard Bill the Pony if he is at an underground site during the fellowship or regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr00002
0P20,Black Rider (P),Minion • Nazgul,Wraith,0,,5,8,3,3,,,"Fierce. This minion is strength +1 for each companion you can spot.
",,,,,https://lotrtcgwiki.com/wiki/lotr00020
0P22,Fell Beast (P),Possession • Mount,Wraith,0,,0,+2,,,,,"To play, discard 2 cards from hand. Bearer must be a Nazgul. Bearer is fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr00022
0P23,"•Aragorn, Captain of Gondor (P)",Companion • Man,Gondor,0,,4,8,4,6,Aragorn,,"Knight. At the start of each fellowship phase, you may add (2) to heal another [Gondor] companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr00023
0P24,"•Legolas, Elven Stalwart (P)",Companion • Elf,Elven,0,,2,6,3,6,Aragorn,,"Archer. While you can spot 3 wounded minions, each minion skirmishing Legolas is strength -3.
",,,,,https://lotrtcgwiki.com/wiki/lotr00024
0P25,"•Denethor, Wizened Steward (P)",Companion • Man,Gondor,0,,2,5,3,6,Aragorn,,"Denethor is strength +1 for each other [Gondor] Man you can spot (limit +4).
",,,,,https://lotrtcgwiki.com/wiki/lotr00025
0P26,"•Gandalf, Defender of the West (P)",Companion • Wizard,Gandalf,0,,4,9,4,6,Gandalf,,"While you cannot spot 3 companions of the same culture, Gandalf is strength -2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00026
0P28,"•Arwen, Fair Elf Maiden (P)",Companion • Elf,Elven,0,,2,6,3,6,Gandalf,,"While skirmishing a fierce minion, Arwen is strength +3.
",,,,,https://lotrtcgwiki.com/wiki/lotr00028
0P29,"•Eowyn, Dernhelm (P)",Companion • Man,Rohan,0,,2,6,3,6,Theoden,,"Valiant. While skirmishing a mounted minion, Eowyn is strength +2. While skirmishing a fierce minion, Eowyn is strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00029
0P3,Fireworks (P),Event,Gandalf,0,,1,,,,,,"Spell. Fellowship: Spot Gandalf to shuffle up to 2 [Gandalf] or up to 2 [Shire] cards from your discard pile into your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr00003
0P30,"•The Balrog, Terror of Flame and Shadow (P)",Minion • Balrog,Moria,0,,14,17,5,4,,,"Damage +2. The twilight cost of The Balrog is -3 if you can spot a [Moria] minion. The Balrog cannot be assigned to skirmish companions or allies of strength less than 6.
",,,,,https://lotrtcgwiki.com/wiki/lotr00030
0P31,•The Pale Blade (P),Possession • Hand Weapon,Wraith,0,,2,+3,,,,,"Bearer must be The Witch-king. He is damage +1. Response: If The Witch-king wins a skirmish, exert him to discard a Free Peoples condition.
",,,,,https://lotrtcgwiki.com/wiki/lotr00031
0P32,"•Gandalf, Mithrandir (P)",Companion • Wizard,Gandalf,0,,4,10,4,6,Aragorn,,"Damage +1. Each time the fellowship moves, wound Gandalf.
",,,,,https://lotrtcgwiki.com/wiki/lotr00032
0P33,•Firefoot (P),Possession • Mount,Rohan,0,,2,,,,,,"Bearer must be a [Rohan] Man. If bearer is Eomer, he is defender +1. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
",,,,,https://lotrtcgwiki.com/wiki/lotr00033
0P34,•Gimli's Helm (P),Possession • Helm,Dwarven,0,,0,,,,,,"Bearer must be Gimli. He takes no more than 1 wound during each skirmish phase. Skirmish: Discard Gimli&#039;s Helm to prevent all wounds to him.
",,,,,https://lotrtcgwiki.com/wiki/lotr00034
0P35,"•Faramir, Captain of Gondor (P)",Companion • Man,Gondor,0,,3,7,3,6,Aragorn,,"Ring-bound. Ranger. The twilight cost of each other [Gondor] Man in your starting fellowship is -1. While skirmishing a roaming minion, Faramir is strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr00035
0P36,•Whip of Many Thongs (P),Artifact • Hand Weapon,Moria,0,,1,+1,,,,,"Bearer must be The Balrog. Skirmish: Exert The Balrog to discard a helm, shield, or armor borne by a character The Balrog is skirmishing.
",,,,,https://lotrtcgwiki.com/wiki/lotr00036
0P37,"•The Witch-king, Lord of the Nazgul (P)",Minion • Nazgul,Wraith,0,,8,14,4,3,,,"Twilight. Return to Its Master may not be played. Each time The Witch-king wins a skirmish, you may exert him to wound the Ring-bearer twice.
",,,,,https://lotrtcgwiki.com/wiki/lotr00037
0P39,"•Eowyn, Sister-daughter of Theoden (P)",Companion • Man,Rohan,0,,2,6,3,6,Aragorn,,"Valiant. Response: If Eowyn is exhausted and about to take a wound in a skirmish, discard 2 cards from hand to prevent that wound.
",,,,,https://lotrtcgwiki.com/wiki/lotr00039
0P4,Council Courtyard (P),Site,Site,0,,0,,,,,3,"Sanctuary. When the fellowship moves from Council Courtyard, remove (2). 
",,,,,https://lotrtcgwiki.com/wiki/lotr00004
0P40,•Axe of Erebor (P),Possession • Hand Weapon,Dwarven,0,,2,+2,,,,,"Bearer must be Gimli. He is damage +1. Skirmish: Discard a [Dwarven] condition or a card stacked on a [Dwarven] condition to make Gimli strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00040
0P41,•Aragorn's Bow (P),Possession • Ranged Weapon,Gondor,0,,1,,,,,,"Bearer must be Aragorn. He is an archer. Archery: Exert Aragorn to wound a minion; Aragorn does not add to the fellowship archery total.
",,,,,https://lotrtcgwiki.com/wiki/lotr00041
0P42,•The Balrog's Sword (P),Artifact • Hand Weapon,Moria,0,,1,+3,,,,,"Bearer must be The Balrog. It is damage +1. This weapon may be borne in addition to 1 other hand weapon.
",,,,,https://lotrtcgwiki.com/wiki/lotr00042
0P43,"•Ulaire Nelya, Ringwraith in Twilight (P)",Minion • Nazgul,Wraith,0,,5,10,3,2,,,"Twilight. While you can spot 2 burdens or 2 wounds on the Ring-bearer, Ulaire Nelya is fierce and damage +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00043
0P44,"•Glamdring, Lightning Brand (P)",Possession • Hand Weapon,Gandalf,0,,2,+2,,,,,"Bearer must be Gandalf. He is damage +1. Each time you play a spell during a skirmish, you may make Gandalf damage +1 until the end of that skirmish.
",,,,,https://lotrtcgwiki.com/wiki/lotr00044
0P45,"•Eomer, Third Marshal of Riddermark (P)",Companion • Man,Rohan,0,,3,7,3,6,Theoden,,"While you can spot a [Rohan] Man, Eomer&#039;s twilight cost is -1. Eomer is strength +2 for each wound on each minion he is skirmishing.
",,,,,https://lotrtcgwiki.com/wiki/lotr00045
0P46,"•Gimli, Skilled Defender (P)",Companion • Dwarf,Dwarven,0,,2,6,3,6,Theoden,,"Damage +1. Each time Gimli wins a skirmish, you may wound a minion assigned to skirmish an unbound companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr00046
0P47,"•Aragorn, Defender of Free Peoples (P)",Companion • Man,Gondor,0,,4,8,4,6,Theoden,,"Skirmish: Remove an [Elven] token to make a minion skirmishing Aragorn strength -3. Skirmish: Remove a [Dwarven] token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a [Rohan] token to wound a minion twice.
",,,,,https://lotrtcgwiki.com/wiki/lotr00047
0P48,"•Shelob, Last Child of Ungoliant (P)",Minion • Spider,Gollum,0,,6,8,8,8,,,"Enduring. Fierce. While in a fierce skirmish, Shelob is damage +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00048
0P49,"•Eomer, Keeper of Oaths (P)",Companion • Man,Rohan,0,,3,8,3,6,Gandalf,,"Valiant. When you play Eomer (except in your starting fellowship), you may reveal the top 10 cards of your draw deck and play all [Rohan] possessions revealed. Shuffle your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr00049
0P5,•Horn of Boromir (P),Possession,Gondor,0,,0,,,,,,"Bearer must be Boromir. Maneuver: Exert Boromir and spot an ally. Until the regroup phase, that ally is strength +3 and participates in archery fire and skirmishes.
",,,,,https://lotrtcgwiki.com/wiki/lotr00005
0P50,"•Glorfindel, Revealed in Wrath (P)",Companion • Elf,Elven,0,,4,9,3,6,,,"When Glorfindel is in your starting fellowship, his twilight cost is -2. Skirmish: Reveal the top card of your draw deck. You may exert Glorfindel to make a Nazgul he is skirmishing strength -X, where X is the twilight cost of the card revealed.
",,,,,https://lotrtcgwiki.com/wiki/lotr00050
0P51,"•Radagast, The Brown (P)",Companion • Wizard,Gandalf,0,,4,8,4,6,Gandalf,,"The move limit is +1. Each time the fellowship moves during the regroup phase, each opponent may discard 2 cards from hand to draw 2 cards.
",,,,,https://lotrtcgwiki.com/wiki/lotr00051
0P52,"•Goldberry, River-daughter (P)",Ally • Home 2,Shire,0,,3,4,6,,,,"Each time the fellowship moves to a river, heal Goldberry and Tom Bombadil. Skirmish: If the fellowship is at a river, exert Goldberry to make a companion strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00052
0P53,"•Tom Bombadil, The Master (P)",Ally • Home 2,Shire,0,,5,14,9,,,,"To play, remove 2 burdens or 2 threats. Skirmish: Spot 2 [Shire] companions and exert Tom Bombadil X times, where X is the fellowship&#039;s site number, to cancel a skirmish involving a [Shire] companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr00053
0P54,"•Sauron, The Lord of the Rings (P)",Minion • Maia,Sauron,0,,18,24,5,,,,"Damage +2. Enduring. Fierce. For each burden you spot, threat you spot, and site you control, Sauron&#039;s twilight cost is -1.
",,,,,https://lotrtcgwiki.com/wiki/lotr00054
0P55,Gorgoroth Swarm (P),Minion • Orc,Sauron,0,,5,12,3,,,,"Besieger. When you play this minion, if you can spot another besieger, you may spot 6 companions to play a besieger from your discard pile and control a site.
",,,,,https://lotrtcgwiki.com/wiki/lotr00055
0P58,"•Anarion, Lord of Anorien (P)",Companion • Man,Gondor,0,,3,7,3,6,,,"Skirmish: Play a [Gondor] skirmish event to make each minion skirmishing Anarion strength -X, where X is Anarion&#039;s vitality.
",,,,,https://lotrtcgwiki.com/wiki/lotr00058
0P59,"•Erkenbrand, Master of Westfold (P)",Companion • Man,Rohan,0,57,3,7,3,5,,,"If you can spot a [Rohan] Man, you may play Erkenbrand any time you could play a skirmish event. When you play Erkenbrand, you may discard a Shadow possession.
",,,,,https://lotrtcgwiki.com/wiki/lotr00059
0P59,"•Erkenbrand, Master of Westfold (P)",Companion • Man,Rohan,0,96,3,7,3,5,,,"If you can spot a [Rohan] Man, you may play Erkenbrand any time you could play a skirmish event. When you play Erkenbrand, you may discard a Shadow possession.
",,,,,https://lotrtcgwiki.com/wiki/lotr00059
0P6,Balin's Tomb (P),Site,Site,0,,3,,,,,4,"Underground. Maneuver: Discard a tale from play or from hand to heal your companion. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00006
