"","Artist","Set_Name","Classifications","Abilities","Set_Num","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Unique_ID","Card_Num","Body_Text","Willpower","Strength","Set_ID","Flavor_Text","Card_Variants","Move_Cost"
"12","Shannon Hallstein","Into the Inklands","Storyborn, Hero","Bodyguard",3,"Amber","","https://lorcana-api.com/images/nani/protective_sister/nani-protective_sister-large.png",5,TRUE,"Nani - Protective Sister","Character",2,"Uncommon","INK-012",12,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",6,3,"INK","""Let me handle this, Lilo.""",NA,NA
"13","Isaiah Mesq","Into the Inklands","Storyborn, Ally",NA,3,"Amber","","https://lorcana-api.com/images/orville/ace_pilot/orville-ace_pilot-large.png",2,TRUE,"Orville - Ace Pilot","Character",1,"Common","INK-013",13,NA,4,1,"INK","""Boy, look at those things go! Whaddya call 'em? Inkrunners? I wish I could fly like that.""",NA,NA
"14","Ellie Harie","Into the Inklands","Storyborn, Puppy",NA,3,"Amber","","https://lorcana-api.com/images/patch/intimidating_pup/patch-intimidating_pup-large.png",4,TRUE,"Patch - Intimidating Pup","Character",1,"Common","INK-014",14,"Bark - {e}: Chosen character gets -2{p} until the start of your next turn.",4,3,"INK","Just like Thunderbolt, he'll stand up to any bad guy.",NA,NA
"15","Defne T?z?m, Livio Cacciatore","Into the Inklands","Storyborn, Hero",NA,3,"Amber","","https://lorcana-api.com/images/perdita/devoted_mother/perdita-devoted_mother-large.png",6,FALSE,"Perdita - Devoted Mother","Character",2,"Legendary","INK-015",15,"Come Along, Children - When you play this character and whenever she quests, you may play a character with cost 2 or less from your discard for free.",6,1,"INK","Her pups will follow her anywhere.",NA,NA
"16","Grace Tran","Into the Inklands","Dreamborn, Hero, Pirate, Captain",NA,3,"Amber","","https://lorcana-api.com/images/piglet/pooh_pirate_captain/piglet-pooh_pirate_captain-large.png",2,TRUE,"Piglet - Pooh Pirate Captain","Character",1,"Super Rare","INK-016",16,"And I'm The Captain! - While you have 2 or more other characters in play, this character gets +2{l}.",2,2,"INK","""Ahoy! There's lore out there, and I'm g-gonna find it!""",NA,NA
"17","Dave Alvarez, Alice Pisoni","Into the Inklands","Floodborn, Ally","Shift 5, Bodyguard",3,"Amber","","https://lorcana-api.com/images/pluto/determined_defender/pluto-determined_defender-large.png",7,TRUE,"Pluto - Determined Defender","Character",2,"Rare","INK-017",17,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Pluto.)

Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Guard Dog - At the start of your turn, remove up to 3 damage from this character.",8,3,"INK",NA,NA,NA
"18","Jiahui Eva Gao","Into the Inklands","Storyborn, Ally",NA,3,"Amber","","https://lorcana-api.com/images/pluto/friendly_pooch/pluto-friendly_pooch-large.png",1,FALSE,"Pluto - Friendly Pooch","Character",1,"Uncommon","INK-018",18,"Good Dog - {e}: You pay 1{i} less for the next character you play this turn.",2,0,"INK","He just can't wait for new friends to arrive!",NA,NA
"19","Grace Tran","Into the Inklands","Storyborn, Hero",NA,3,"Amber","","https://lorcana-api.com/images/pongo/determined_father/pongo-determined_father-large.png",3,TRUE,"Pongo - Determined Father","Character",1,"Super Rare","INK-019",19,"Twilight Bark - Once per turn, you may pay 2{i} to reveal the top card of your deck. If it's a character card, put it into your hand. Otherwise, Put it on the bottom of your deck.",2,3,"INK","""We'll find our way. I know we will!""",NA,NA
"20","Brianna Garcia","Into the Inklands","Dreamborn, Villain, Queen",NA,3,"Amber","","https://lorcana-api.com/images/queen_of_hearts/wonderland_empress/queen_of_hearts-wonderland_empress-large.png",3,TRUE,"Queen of Hearts - Wonderland Empress","Character",1,"Uncommon","INK-020",20,"All Ways Here Are My Ways - Whenever this character quests, your other Villain characters get +1{l} this turn.",3,3,"INK","The more of the Inklands she claims, the more she wants.",NA,NA
"21","Defne T?z?m, Denny Minonne","Into the Inklands","Storyborn, Puppy","Support",3,"Amber","","https://lorcana-api.com/images/rolly/hungry_pup/rolly-hungry_pup-large.png",3,TRUE,"Rolly - Hungry Pup","Character",1,"Uncommon","INK-021",21,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",3,3,"INK","""I'm hungry, Mother. I really am.""",NA,NA
"22","Aisha Durmagambetova","Into the Inklands","Storyborn, Ally, Fairy",NA,3,"Amber","","https://lorcana-api.com/images/tinker_bell/generous_fairy/tinker_bell-generous_fairy-large.png",4,FALSE,"Tinker Bell - Generous Fairy","Character",1,"Uncommon","INK-022",22,"Make A New Friend - When you play this character, look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of our deck in any order.",4,1,"INK","Plenty of berries - and friendship - to go around.",NA,NA
"23","Aubrey Archer","Into the Inklands","Dreamborn, Hero",NA,3,"Amber","","https://lorcana-api.com/images/wendy_darling/talented_sailor/wendy_darling-talented_sailor-large.png",2,TRUE,"Wendy Darling - Talented Sailor","Character",2,"Uncommon","INK-023",23,NA,3,1,"INK","With Tink's upgrades in place, Wendy took them to the skies to find the missing mermaid.",NA,NA
"24","Agnes Christianson","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/99_puppies/99_puppies-large.png",5,FALSE,"99 Puppies","Action",NA,"Uncommon","INK-024",24,"Whenever one of your characters quests this turn, gain 1 lore.",NA,NA,"INK","""Two, four, six, plus three is nine, plus two is 11 . . .""
-Roger",NA,NA
"25","Zuzana Sokolova, Livio Cacciatore","Into the Inklands",NA,"Support",3,"Amber","","https://lorcana-api.com/images/boss's_orders/boss's_orders-large.png",1,TRUE,"Boss's Orders","Action",NA,"Common","INK-025",25,"Chosen character gains Support this turn. (Whenever they quest, you may add their {s} to another chosen character's {s} this turn.)",NA,NA,"INK","""Snoops! I know you can look harder! Find me that lore!""
-Madame Medusa",NA,NA
"26","Monica Catalano","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/heal_what_has_been_hurt/heal_what_has_been_hurt-large.png",3,TRUE,"Heal What Has Been Hurt","Action - Song",NA,"Common","INK-026",26,"(A character with cost 3 or more can {e} to sing this song for free.)

Remove up to 3 damage from chosen character. Draw a card.",NA,NA,"INK","Let your power shine
Make the clock reverse . . .",NA,NA
"27","Wouter Bruneel","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/quick_patch/quick_patch-large.png",1,TRUE,"Quick Patch","Action",NA,"Common","INK-027",27,"Remove up to 3 damage from chosen location",NA,NA,"INK","""Good as new! Well, almost.""",NA,NA
"28","Maxine Vee, David Navarro Arenas","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/the_bare_necessities/the_bare_necessities-large.png",2,TRUE,"The Bare Necessities","Action - Song",NA,"Rare","INK-028",28,"(A character with cost 2 or more can {e} to sing this song for free.)

Chosen opponent reveals their hand and discards a non-character card of your choice.",NA,NA,"INK","Forget about your worries and your strife. . . .",NA,NA
"29","Michael ""Cookie"" Niewadomy","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/cleansing_rainwater/cleansing_rainwater-large.png",2,TRUE,"Cleansing Rainwater","Item",NA,"Common","INK-029",29,"Ancient Power - Banish this item: Remove up to 2 damage from each of your characters.",NA,NA,"INK","Rainwater lands as stone melts and dragons fly again.",NA,NA
"30","Elliot Baum, Viv Tanner","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/heart_of_atlantis/heart_of_atlantis-large.png",4,FALSE,"Heart of Atlantis","Item",NA,"Rare","INK-030",30,"Life Giver - {e}: You pay 2{i} less for the next character you play this turn.",NA,NA,"INK","""It's what's keeping you - all of Atlantis - alive!""
-Milo Thatch",NA,NA
"31","Ellie Harie","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/wildcat's_wrench/wildcat's_wrench-large.png",2,TRUE,"Wildcat's Wrench","Item",NA,"Uncommon","INK-031",31,"Rebuild - {e}: Remove up to 2 damage from chosen location.",NA,NA,"INK","The right tool makes all the difference.",NA,NA
"32","C?cile Carrie","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/never_land/mermaid_lagoon/never_land-mermaid_lagoon-large.png",1,TRUE,"Never Land - Mermaid Lagoon","Location",1,"Common","INK-032",32,NA,4,NA,"INK","The mermaids told Peter they'd seen some items floating by several days earlier, but they were more concerned that one of their sisters had gone missing.",NA,1
"33","Beverly Arce, Jonathan Livslyst","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/pride_lands/pride_rock/pride_lands-pride_rock-large.png",2,FALSE,"Pride Lands - Pride Rock","Location",1,"Rare","INK-033",33,"We Are All Connected - Characters get +2{w} while here.

Lion Home - If you have a Prince or King character here, you pay 1{i} less to play characters.",7,NA,"INK",NA,NA,2
"34","Valerio Buonfantino","Into the Inklands",NA,NA,3,"Amber","","https://lorcana-api.com/images/tiana's_palace/tiana's_palace-large.png",3,FALSE,"Tiana's Palace - Jazz Restaurant","Location",1,"Uncommon","INK-034",34,"Night Out - Characters can't be challenged while here.",8,NA,"INK","In New Orleans, dreams can come true.",NA,2
"35","Nicola Saviori, Raquel Vilanueva","Into the Inklands","Dreamborn, Hero, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/alice/tea_alchemist/alice-tea_alchemist-large.png",6,TRUE,"Alice - Tea Alchemist","Character",2,"Super Rare","INK-035",35,"Curiouser And Curiouser - {e}: Exert chosen opposing character and all other opposing characters with the same name.",4,4,"INK","With the right tea leaves and a little magic, she creates the perfect cup for any party guest.",NA,NA
"36","Monica Catalano","Into the Inklands","Storyborn, Ally",NA,3,"Amethyst","","https://lorcana-api.com/images/chernabog's_followers/chernabog's_followers-large.png",1,TRUE,"Chernabog's Followers - Creatures of Evil","Character",1,"Uncommon","INK-036",36,"Restless Souls - Whenever this character quests, you may banish them to draw a card.",1,2,"INK","Let chaos reign.",NA,NA
"37","Agnes Christianson","Into the Inklands","Dreamborn, Ally",NA,3,"Amethyst","","https://lorcana-api.com/images/diablo/faithful_pet/diablo-faithful_pet-large.png",1,TRUE,"Diablo - Faithful Pet","Character",1,"Common","INK-037",37,"Looking For Aurora - Whenever you play a character named Maleficent, you may look at the top card of your deck. Put it on the top or the bottom of your deck.",1,2,"INK","With a little ink-enhanced magic, nothing escapes his sight.",NA,NA
"38","Koni","Into the Inklands","Storyborn, Ally",NA,3,"Amethyst","","https://lorcana-api.com/images/genie/supportive_friend/genie-supportive_friend-large.png",4,FALSE,"Genie - Supportive Friend","Character",1,"Super Rare","INK-038",38,"Three Wishes - Whenever this character quests, you may shuffle this card into your deck to draw 3 cards.",5,3,"INK","""Right here, direct from the lamp, right here for your very much wish fulfillment.""",NA,NA
"39","Alice Pisoni","Into the Inklands","Storyborn, Titan",NA,3,"Amethyst","","https://lorcana-api.com/images/hydros/ice_titan/hydros-ice_titan-large.png",3,TRUE,"Hydros - Ice Titan","Character",2,"Uncommon","INK-039",39,"Blizzard - {e}: Exert chosen character.",2,2,"INK","""Freeze Zeus!""",NA,NA
"40","Giulia Riva","Into the Inklands","Storyborn, Ally","Evasive",3,"Amethyst","","https://lorcana-api.com/images/iago/pretty_polly/iago-pretty_polly-large.png",3,TRUE,"Iago - Pretty Polly","Character",1,"Common","INK-040",40,"Evasive (Only characters with Evasive can challenge this character.)",2,3,"INK","""Your majesty certainly has a way with dumb animals.""
-Jafar",NA,NA
"41","Veronica Di Lorenzo, Livio Cacciatore","Into the Inklands","Storyborn, Villain, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/jafar/lamp_thief/jafar-lamp_thief-large.png",3,TRUE,"Jafar - Lamp thief","Character",2,"Uncommon","INK-041",41,"I Am Your Master Now - When you play this character, look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.",2,2,"INK","""I will rule as far as the eye can see.""",NA,NA
"42","Nicola Saviori","Into the Inklands","Floodborn, Villain, Sorcerer","Shift 5, Evasive",3,"Amethyst","","https://lorcana-api.com/images/jafar/striking_illusionist/jafar-striking_illusionist-large.png",7,TRUE,"Jafar - Striking Illusionist","Character",1,"Legendary","INK-042",42,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Jafar.)

Evasive (Only characters with Evasive can challenge this character.)

Power Beyond Measure - During your turn, while this character is exerted, whenever you draw a card, gain 1 lore.",5,4,"INK",NA,"(enchanted, placeholder)",NA
"43","Heidi Neunhoffer","Into the Inklands","Storyborn, Hero, Sorcerer","Rush",3,"Amethyst","","https://lorcana-api.com/images/lena_sabrewing/rebellious_teenager/lena_sabrewing-rebellious_teenager-large.png",2,TRUE,"Lena Sabrewing - Rebellious Teenager","Character",1,"Common","INK-043",43,"Rush (This character can challenge the turn they're played.)",3,1,"INK","Born from the shadows. Saved by friendship.",NA,NA
"44","Giulia Riva","Into the Inklands","Dreamborn, Broom",NA,3,"Amethyst","","https://lorcana-api.com/images/magic_broom/dancing_duster/magic_broom-dancing_duster-large.png",6,FALSE,"Magic Broom - Dancing Duster","Character",1,"Uncommon","INK-044",44,"Power Clean - When you play this character, if you have a Sorcerer character in play, you may exert chosen opposing character. They can't ready at the start of their next turn.",3,3,"INK","Super-smooth tidiness.",NA,NA
"45","Cristian Romero","Into the Inklands","Dreamborn, Broom","Rush",3,"Amethyst","","https://lorcana-api.com/images/magic_broom/swift_cleaner/magic_broom-swift_cleaner-large.png",5,FALSE,"Magic Broom - Swift Cleaner","Character",2,"Common","INK-045",45,"Rush (This character can challenge the turn they're played.)

Clean This, Clean That - When you play this character, you may shuffle all Broom cards from your discard into your deck.",4,4,"INK","Super-speedy tidiness.",NA,NA
"46","Eri Welli","Into the Inklands","Dreamborn,  Broom",NA,3,"Amethyst","","https://lorcana-api.com/images/magic_broom/the_big_sweeper/magic_broom-the_big_sweeper-large.png",3,TRUE,"Magic Broom - The Big Sweeper","Character",1,"Common","INK-046",46,"Clean Sweep - While this character is at a location, it gets +2{p}.",5,1,"INK","Super-sized tidiness.",NA,NA
"47","Cory Godbey","Into the Inklands","Storyborn, Ally","Evasive",3,"Amethyst","","https://lorcana-api.com/images/magic_carpet/flying_rug/magic_carpet-flying_rug-large.png",2,TRUE,"Magic Carpet - Flying Rug","Character",1,"Common","INK-047",47,"Evasive (Only characters with Evasive can challenge this character.)

Find The Way - {e}: Move a character of yours to a location for free.",1,2,"INK","""Carpet and I can swoop in, grab the lore, and be back before anyone knows it!"" -Aladdin",NA,NA
"48","Lissette Carrera","Into the Inklands","Storyborn, Villain, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/magica_de_spell/ambitious_witch/magica_de_spell-ambitious_witch-large.png",2,TRUE,"Magica De Spell - Ambitious Witch","Character",1,"Common","INK-048",48,NA,3,2,"INK","""Feed my power, Dark Eclipse. Free my form from the abyss. Dormant magic now unchain, the Shadow Queen be whole again!""",NA,NA
"49","Lauren LEvering","Into the Inklands","Floodborn, Villain, Sorcerer","Shift 5",3,"Amethyst","","https://lorcana-api.com/images/magica_de_spell/the_midas_touch/magica_de_spell-the_midas_touch-large.png",7,FALSE,"Magica De Spell - The Midas Touch","Character",NA,"Super Rare","INK-049",49,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Magica De Spell.)

All Mine - Whenever this character quests, gain lore equal to the cost of one of your items in play.",6,4,"INK","""I can feel my powers growing the closer I get to Scrooge's precious dime!""",NA,NA
"50","Giulia Riva","Into the Inklands","Storyborn, Villain, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/magica_de_spell/thieving_sorceress/magica_de_spell-thieving_sorceress-large.png",4,TRUE,"Magica De Spell - Thieving Sorceress","Character",2,"Uncommon","INK-050",50,"Telekinesis - {e}: Return chosen item with cost equal to or less than this character's {p} to its player's hand.",4,3,"INK","""Do you know what I call this? A good start!""",NA,NA
"51","Grace Tran","Into the Inklands","Storyborn, Villain, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/maleficent/mistress_of_all_evil/maleficent-mistress_of_all_evil-large.png",5,TRUE,"Maleficent - Mistress of All Evil","Character",2,"Legendary","INK-051",51,"Dark Knowledge - Whenever this character quests, you may draw a card.

Divination - During your turn, whenever you draw a card, you may move 1 damage counter from chosen character to chosen opposing character.",3,2,"INK",NA,"(enchanted, placeholder)",NA
"52","Crisstian Romero","Into the Inklands","Dreamborn, Ally, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/mama_odie/voice_of_wisdom/mama_odie-voice_of_wisdom-large.png",6,FALSE,"Mama Odie - Voice of Wisdom","Character",2,"Uncommon","INK-052",52,"Listen To Your Mama Now - Whenever this character quests, you may move up to 2 damage counters from chosen character to chosen opposing character.",6,3,"INK","""That's the way to give it what it needs, Juju!""",NA,NA
"53","Danny Minonne","Into the Inklands","Storyborn, Ally",NA,3,"Amethyst","","https://lorcana-api.com/images/pua/potbellied_buddy/pua-potbellied_buddy-large.png",2,TRUE,"Pua - Potbellied Buddy","Character",2,"Common","INK-053",53,"Always There - When this character is banished, you may shuffle this card into your deck.",2,2,"INK","Always ready to lend a hand . . . er, snout.",NA,NA
"54","Otto Paredes","Into the Inklands","Dreamborn, Mentor, Sorcerer","Challenger +3",3,"Amethyst","","https://lorcana-api.com/images/rafiki/mystical_fighter/rafiki-mystical_fighter-large.png",1,TRUE,"Rafiki - Mystical Fighter","Character",1,"Rare","INK-054",54,"Challenger +3 (While challenging, this character gets +3{p}.)

Ancient Skills - Whenever he challenges a Hyena character, this character takes no damage from the challenge.",2,0,"INK","Mind the stick!",NA,NA
"55","Jared Nickerl, Alice Pisoni","Into the Inklands","Storyborn, Titan","Evasive",3,"Amethyst","","https://lorcana-api.com/images/stratos/tornado_titan/stratos-tornado_titan-large.png",5,TRUE,"Stratos - Tornado Titan","Character",NA,"Rare","INK-055",55,"Evasive (Only characters with Evasive can challenge this character.)

Cyclone - {e}: Gain lore equal to the number of Titan characters you have in play.",4,4,"INK","""Blow Zeus away!""",NA,NA
"56","Hedvig H?ggman-Sund","Into the Inklands","Dreamborn, Villain",NA,3,"Amethyst","","https://lorcana-api.com/images/the_firebird/force_of_destruction/the_firebird-force_of_destruction-large.png",4,TRUE,"The Firebird - Force of Destruction","Character",1,"Common","INK-056",56,NA,2,6,"INK","It rages through the forest,
Wings spread wide with flame
Spring sings its ancient chorus
And green renews its claim",NA,NA
"57","Anna Rud, Livio Cacciatore","Into the Inklands","Dreamborn, Villain, Queen, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/the_queen/hateful_rival/the_queen-hateful_rival-large.png",3,TRUE,"The Queen - Hateful Rival","Character",1,"Common","INK-057",57,NA,3,4,"INK","""A cobweb's strand to hold her fast
An eagle's eye to see her well
Sands of time to steal her past
Thus I cast my magic spell!""",NA,NA
"58","Hedvig H?ggman-Sund","Into the Inklands","Storyborn",NA,3,"Amethyst","","https://lorcana-api.com/images/treasure_guardian/protector_of_the_cave/treasure_guardian-protector_of_the_cave-large.png",4,FALSE,"Treasure Guardian - Protector of the Cave","Character",2,"Rare","INK-058",58,"Who Disturbs MY Slumber? - This character can't challenge or quest unless it is at a location.",6,6,"INK","""Only one may enter here.""",NA,NA
"59","John Loren","Into the Inklands","Dreamborn, Villain, Sorcerer",NA,3,"Amethyst","","https://lorcana-api.com/images/ursula/sea_witch/ursula-sea_witch-large.png",3,FALSE,"Ursula - Sea Witch","Character",1,"Rare","INK-059",59,"You're Too Late - Whenever this character quests, chosen opposing character can't ready at the start of their next turn.",3,3,"INK","The secret contract has already been written",NA,NA
"60","Dylan Bonner","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/bestow_a_gift/bestow_a_gift-large.png",1,TRUE,"Bestow A Gift","Action",NA,"Common","INK-060",60,"Move 1 damage counter from chosen character to chosen opposing character.",NA,NA,"INK","""From magic ink I call this gift.
Fly my minion, thy wings be swift!""
-Maleficent",NA,NA
"61","Luis Huerta","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/it_calls_me/it_calls_me-large.png",1,TRUE,"It Calls Me","Action - Song",NA,"Uncommon","INK-061",61,"(A character with cost 1 or more can {e} to sing this song for free.)

Draw a card. Then, choose up to 3 cards from chosen opponent's discard and shuffle them into their deck.",NA,NA,"INK","I am everything I've learned and more",NA,NA
"62","Ian MacDonald","Into the Inklands",NA,"Challenger +2",3,"Amethyst","","https://lorcana-api.com/images/last-ditch_effort/last-ditch_effort-large.png",3,FALSE,"Last-Ditch Effort","Action",NA,"Uncommon","INK-062",62,"Exert chosen opposing character. Then chosen character of yours gains Challenger +2 this turn. (They get +2{p} when challenging.)",NA,NA,"INK","""I got your back.""",NA,NA
"63","Koni","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/the_boss_is_on_a_roll/the_boss_is_on_a_roll-large.png",3,TRUE,"The Boss Is On A Roll","Action - Song",NA,"Rare","INK-063",63,"(A character with cost 3 or more can {e} to sing this song for free.)

Look at the top 5 cards of your deck. Put any number of them on the top of the bottom of your deck in any order. Gain 1 lore.",NA,NA,"INK","Go ahead! Make your choice!",NA,NA
"64","Ever Galvez, Anna Stosik","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/the_lamp/the_lamp-large.png",2,FALSE,"The Lamp","Item",NA,"Rare","INK-064",64,"Good Or Evil - Banish this item: If you have a character named Jafar in play, draw 2 cards. If you have a character named Genie in play, return chosen character with cost 4 or less to their players hand.",NA,NA,"INK",NA,NA,NA
"65","Jiahui Eva Gao","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/the_sorcerer's_hat/the_sorcerer's_hat-large.png",2,TRUE,"The Sorcerer's Hat","Item",NA,"Rare","INK-065",65,"Incredible Energy - {e}, 1{i}: Name a card, then reveal the top card of your deck. If it's the named card, put that card into your hand. Otherwise, put it on the top of your deck.",NA,NA,"INK","Minnie approached it carefully. Whoever had placed it here might have prepared traps.",NA,NA
"66","Jimmy Lo","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/forbidden_mountain/maleficent's_castle/forbidden_mountain-maleficent's_castle-large.png",2,TRUE,"Forbidden Mountain - Maleficent's Castle","Location",1,"Common","INK-066",66,NA,6,NA,"INK","An eerie quiet surrounds the castle - but beware of the dangerous occupant within.",NA,1
"67","Matthew Oates","Into the Inklands",NA,NA,3,"Amethyst","","https://lorcana-api.com/images/the_queen's_castle/mirror_chamber/the_queen's_castle-mirror_chamber-large.png",4,TRUE,"The Queen's Castle - Mirror Chamber","Location",2,"Rare","INK-067",67,"Using The Mirror - At the start of your turn, for each character you have here, you may draw a card.",7,NA,"INK","Those who visit the mirror can choose their question - but not the answer.",NA,1
