"","Name","Set_Name","Classifications","Abilities","Color","Franchise","Cost","Inkable","Type","Lore","Rarity","Body_Text","Willpower","Strength","Move_Cost"
"28","The Bare Necessities","Into the Inklands",NA,NA,"Amber","",2,TRUE,"Action - Song",NA,"Rare","(A character with cost 2 or more can {e} to sing this song for free.)

Chosen opponent reveals their hand and discards a non-character card of your choice.",NA,NA,NA
"29","Cleansing Rainwater","Into the Inklands",NA,NA,"Amber","",2,TRUE,"Item",NA,"Common","Ancient Power - Banish this item: Remove up to 2 damage from each of your characters.",NA,NA,NA
"30","Heart of Atlantis","Into the Inklands",NA,NA,"Amber","",4,FALSE,"Item",NA,"Rare","Life Giver - {e}: You pay 2{i} less for the next character you play this turn.",NA,NA,NA
"31","Wildcat's Wrench","Into the Inklands",NA,NA,"Amber","",2,TRUE,"Item",NA,"Uncommon","Rebuild - {e}: Remove up to 2 damage from chosen location.",NA,NA,NA
"32","Never Land - Mermaid Lagoon","Into the Inklands",NA,NA,"Amber","",1,TRUE,"Location",1,"Common",NA,4,NA,1
"33","Pride Lands - Pride Rock","Into the Inklands",NA,NA,"Amber","",2,FALSE,"Location",1,"Rare","We Are All Connected - Characters get +2{w} while here.

Lion Home - If you have a Prince or King character here, you pay 1{i} less to play characters.",7,NA,2
"34","Tiana's Palace - Jazz Restaurant","Into the Inklands",NA,NA,"Amber","",3,FALSE,"Location",1,"Uncommon","Night Out - Characters can't be challenged while here.",8,NA,2
"35","Alice - Tea Alchemist","Into the Inklands","Dreamborn, Hero, Sorcerer",NA,"Amethyst","",6,TRUE,"Character",2,"Super Rare","Curiouser And Curiouser - {e}: Exert chosen opposing character and all other opposing characters with the same name.",4,4,NA
"36","Chernabog's Followers - Creatures of Evil","Into the Inklands","Storyborn, Ally",NA,"Amethyst","",1,TRUE,"Character",1,"Uncommon","Restless Souls - Whenever this character quests, you may banish them to draw a card.",1,2,NA
"37","Diablo - Faithful Pet","Into the Inklands","Dreamborn, Ally",NA,"Amethyst","",1,TRUE,"Character",1,"Common","Looking For Aurora - Whenever you play a character named Maleficent, you may look at the top card of your deck. Put it on the top or the bottom of your deck.",1,2,NA
"38","Genie - Supportive Friend","Into the Inklands","Storyborn, Ally",NA,"Amethyst","",4,FALSE,"Character",1,"Super Rare","Three Wishes - Whenever this character quests, you may shuffle this card into your deck to draw 3 cards.",5,3,NA
"39","Hydros - Ice Titan","Into the Inklands","Storyborn, Titan",NA,"Amethyst","",3,TRUE,"Character",2,"Uncommon","Blizzard - {e}: Exert chosen character.",2,2,NA
"40","Iago - Pretty Polly","Into the Inklands","Storyborn, Ally","Evasive","Amethyst","",3,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)",2,3,NA
"41","Jafar - Lamp thief","Into the Inklands","Storyborn, Villain, Sorcerer",NA,"Amethyst","",3,TRUE,"Character",2,"Uncommon","I Am Your Master Now - When you play this character, look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.",2,2,NA
"42","Jafar - Striking Illusionist","Into the Inklands","Floodborn, Villain, Sorcerer","Shift 5, Evasive","Amethyst","",7,TRUE,"Character",1,"Legendary","Shift 5 (You may pay 5{i} to play this on top of one of your characters named Jafar.)

Evasive (Only characters with Evasive can challenge this character.)

Power Beyond Measure - During your turn, while this character is exerted, whenever you draw a card, gain 1 lore.",5,4,NA
"43","Lena Sabrewing - Rebellious Teenager","Into the Inklands","Storyborn, Hero, Sorcerer","Rush","Amethyst","",2,TRUE,"Character",1,"Common","Rush (This character can challenge the turn they're played.)",3,1,NA
"44","Magic Broom - Dancing Duster","Into the Inklands","Dreamborn, Broom",NA,"Amethyst","",6,FALSE,"Character",1,"Uncommon","Power Clean - When you play this character, if you have a Sorcerer character in play, you may exert chosen opposing character. They can't ready at the start of their next turn.",3,3,NA
"45","Magic Broom - Swift Cleaner","Into the Inklands","Dreamborn, Broom","Rush","Amethyst","",5,FALSE,"Character",2,"Common","Rush (This character can challenge the turn they're played.)

Clean This, Clean That - When you play this character, you may shuffle all Broom cards from your discard into your deck.",4,4,NA
"46","Magic Broom - The Big Sweeper","Into the Inklands","Dreamborn,  Broom",NA,"Amethyst","",3,TRUE,"Character",1,"Common","Clean Sweep - While this character is at a location, it gets +2{p}.",5,1,NA
"47","Magic Carpet - Flying Rug","Into the Inklands","Storyborn, Ally","Evasive","Amethyst","",2,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)

Find The Way - {e}: Move a character of yours to a location for free.",1,2,NA
"48","Magica De Spell - Ambitious Witch","Into the Inklands","Storyborn, Villain, Sorcerer",NA,"Amethyst","",2,TRUE,"Character",1,"Common",NA,3,2,NA
"49","Magica De Spell - The Midas Touch","Into the Inklands","Floodborn, Villain, Sorcerer","Shift 5","Amethyst","",7,FALSE,"Character",NA,"Super Rare","Shift 5 (You may pay 5{i} to play this on top of one of your characters named Magica De Spell.)

All Mine - Whenever this character quests, gain lore equal to the cost of one of your items in play.",6,4,NA
"50","Magica De Spell - Thieving Sorceress","Into the Inklands","Storyborn, Villain, Sorcerer",NA,"Amethyst","",4,TRUE,"Character",2,"Uncommon","Telekinesis - {e}: Return chosen item with cost equal to or less than this character's {p} to its player's hand.",4,3,NA
"51","Maleficent - Mistress of All Evil","Into the Inklands","Storyborn, Villain, Sorcerer",NA,"Amethyst","",5,TRUE,"Character",2,"Legendary","Dark Knowledge - Whenever this character quests, you may draw a card.

Divination - During your turn, whenever you draw a card, you may move 1 damage counter from chosen character to chosen opposing character.",3,2,NA
"52","Mama Odie - Voice of Wisdom","Into the Inklands","Dreamborn, Ally, Sorcerer",NA,"Amethyst","",6,FALSE,"Character",2,"Uncommon","Listen To Your Mama Now - Whenever this character quests, you may move up to 2 damage counters from chosen character to chosen opposing character.",6,3,NA
"53","Pua - Potbellied Buddy","Into the Inklands","Storyborn, Ally",NA,"Amethyst","",2,TRUE,"Character",2,"Common","Always There - When this character is banished, you may shuffle this card into your deck.",2,2,NA
"54","Rafiki - Mystical Fighter","Into the Inklands","Dreamborn, Mentor, Sorcerer","Challenger +3","Amethyst","",1,TRUE,"Character",1,"Rare","Challenger +3 (While challenging, this character gets +3{p}.)

Ancient Skills - Whenever he challenges a Hyena character, this character takes no damage from the challenge.",2,0,NA
"55","Stratos - Tornado Titan","Into the Inklands","Storyborn, Titan","Evasive","Amethyst","",5,TRUE,"Character",NA,"Rare","Evasive (Only characters with Evasive can challenge this character.)

Cyclone - {e}: Gain lore equal to the number of Titan characters you have in play.",4,4,NA
"56","The Firebird - Force of Destruction","Into the Inklands","Dreamborn, Villain",NA,"Amethyst","",4,TRUE,"Character",1,"Common",NA,2,6,NA
"57","The Queen - Hateful Rival","Into the Inklands","Dreamborn, Villain, Queen, Sorcerer",NA,"Amethyst","",3,TRUE,"Character",1,"Common",NA,3,4,NA
"58","Treasure Guardian - Protector of the Cave","Into the Inklands","Storyborn",NA,"Amethyst","",4,FALSE,"Character",2,"Rare","Who Disturbs MY Slumber? - This character can't challenge or quest unless it is at a location.",6,6,NA
"59","Ursula - Sea Witch","Into the Inklands","Dreamborn, Villain, Sorcerer",NA,"Amethyst","",3,FALSE,"Character",1,"Rare","You're Too Late - Whenever this character quests, chosen opposing character can't ready at the start of their next turn.",3,3,NA
"60","Bestow A Gift","Into the Inklands",NA,NA,"Amethyst","",1,TRUE,"Action",NA,"Common","Move 1 damage counter from chosen character to chosen opposing character.",NA,NA,NA
"61","It Calls Me","Into the Inklands",NA,NA,"Amethyst","",1,TRUE,"Action - Song",NA,"Uncommon","(A character with cost 1 or more can {e} to sing this song for free.)

Draw a card. Then, choose up to 3 cards from chosen opponent's discard and shuffle them into their deck.",NA,NA,NA
"62","Last-Ditch Effort","Into the Inklands",NA,"Challenger +2","Amethyst","",3,FALSE,"Action",NA,"Uncommon","Exert chosen opposing character. Then chosen character of yours gains Challenger +2 this turn. (They get +2{p} when challenging.)",NA,NA,NA
"63","The Boss Is On A Roll","Into the Inklands",NA,NA,"Amethyst","",3,TRUE,"Action - Song",NA,"Rare","(A character with cost 3 or more can {e} to sing this song for free.)

Look at the top 5 cards of your deck. Put any number of them on the top of the bottom of your deck in any order. Gain 1 lore.",NA,NA,NA
"64","The Lamp","Into the Inklands",NA,NA,"Amethyst","",2,FALSE,"Item",NA,"Rare","Good Or Evil - Banish this item: If you have a character named Jafar in play, draw 2 cards. If you have a character named Genie in play, return chosen character with cost 4 or less to their players hand.",NA,NA,NA
"65","The Sorcerer's Hat","Into the Inklands",NA,NA,"Amethyst","",2,TRUE,"Item",NA,"Rare","Incredible Energy - {e}, 1{i}: Name a card, then reveal the top card of your deck. If it's the named card, put that card into your hand. Otherwise, put it on the top of your deck.",NA,NA,NA
"66","Forbidden Mountain - Maleficent's Castle","Into the Inklands",NA,NA,"Amethyst","",2,TRUE,"Location",1,"Common",NA,6,NA,1
"67","The Queen's Castle - Mirror Chamber","Into the Inklands",NA,NA,"Amethyst","",4,TRUE,"Location",2,"Rare","Using The Mirror - At the start of your turn, for each character you have here, you may draw a card.",7,NA,1
"68","The Sorcerer's Tower - Wondrous Workspace","Into the Inklands",NA,NA,"Amethyst","",3,TRUE,"Location",NA,"Uncommon","Broom Closet - Your characters named Magic Broom may move here for free.

Magical Power - Characters get +1{l} while here.",7,NA,2
"69","Cubby - Mighty Lost Boy","Into the Inklands","Storyborn, Ally",NA,"Emerald","",4,TRUE,"Character",1,"Common","The Bear - Whenever this character moves to a location, he gets +3{p} this turn.",5,3,NA
"70","Cursed Merfolk - Ursula's Handiwork","Into the Inklands","Storyborn",NA,"Emerald","",1,FALSE,"Character",2,"Rare","Poor Souls - Whenever this character is challenged, each opponent chooses and discards a card.",1,0,NA
"71","Don Karnage - Prince of Pirates","Into the Inklands","Dreamborn, Villain, Prince, Pirate","Evasive","Emerald","",5,TRUE,"Character",2,"Common","Evasive (Only characters with Evasive can challenge this character.)",4,4,NA
"72","Flotsam - Riffraff","Into the Inklands","Dreamborn, Ally",NA,"Emerald","",3,TRUE,"Character",1,"Common","Eerie Pair - Your characters named Jetsam get +3{p}.",2,5,NA
"73","Friar Tuck - Priest of Nottingham","Into the Inklands","Storyborn, Ally",NA,"Emerald","",4,TRUE,"Character",2,"Uncommon","You Thieving Scoundrel - When you play this character, the player or players with the most cards in their hand chooses and discards a card.",4,2,NA
"74","Helga Sinclair - Femme Fatale","Into the Inklands","Floodborn, Villain","Shift 3","Emerald","",5,FALSE,"Character",2,"Super Rare","Shift 3 (You may pay 3{i} to play this on top of one of your characters named Helga Sinclair.)

This Changes Everything - Whenever this character quests, you may deal 3 damage to chosen damaged character.",4,4,NA
"75","Helga Sinclair - Vengeful Partner","Into the Inklands","Storyborn, Villain",NA,"Emerald","",2,TRUE,"Character",1,"Rare","Nothing Personal - When this character is challenged and banished, banish the challenging character.",1,2,NA
"76","Jetsam - Riffraff","Into the Inklands","Dreamborn, Ally","Ward","Emerald","",3,TRUE,"Character",2,"Common","Ward (Opponents can't choose this character except to challenge.)

Eerie Pair - Your characters named Flotsam gain Ward.",2,2,NA
"77","Kit Cloudkicker - Tough Guy","Into the Inklands","Storyborn, Ally",NA,"Emerald","",3,TRUE,"Character",1,"Uncommon","Skysurfing - When you play this character, you may return chosen opposing character with 2{p} or less to their player's hand.",2,2,NA
"78","Lyle Tiberius Rourke - Cunning Mercenary","Into the Inklands","Storyborn, Villain","Reckless","Emerald","",3,FALSE,"Character",1,"Super Rare","Well, Now You Know - When you play this character, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)

Thanks For Volunteering - Whenever one of your other characters is banished, each opponent loses 1 lore.",4,2,NA
"79","Milo Thatch - Clever Cartographer","Into the Inklands","Dreamborn, Hero",NA,"Emerald","",1,TRUE,"Character",1,"Common",NA,2,2,NA
"80","Milo Thatch - King of Atlantis","Into the Inklands","Floodborn, Hero, King","Shift 4","Emerald","",7,FALSE,"Character",3,"Legendary","Shift 4 (You may pay 4{i} to play this on top of one of your characters named Milo Thatch.)

Take Them By Surprise - When this character is banished, return all opposing characters to their player's hands.",4,4,NA
"81","Morph - Space Goo","Into the Inklands","Storyborn, Ally, Alien","Shift","Emerald","",2,TRUE,"Character",1,"Rare","Mimicry - You may play any character with Shift on this character as if this character had any name.",1,2,NA
"82","Peter Pan - Lost Boy Leader","Into the Inklands","Dreamborn, Hero",NA,"Emerald","",4,TRUE,"Character",1,"Rare","I Came To Listen To The Stories - Once per turn, when this character moves to a location, gain lore equal to that location's {l}.",3,3,NA
"83","Prince John - Phony King","Into the Inklands","Storyborn, Villain, Prince",NA,"Emerald","",5,FALSE,"Character",2,"Uncommon","Collect Taxes - Whenever this character quests, each opponent with more lore than you loses 2 lore.",4,2,NA
"84","Robin Hood - Daydreamer","Into the Inklands","Dreamborn, Hero",NA,"Emerald","",6,TRUE,"Character",4,"Rare",NA,5,4,NA
"85","Shenzi - Hyena Pack Leader","Into the Inklands","Storyborn, Ally, Hyena",NA,"Emerald","",4,TRUE,"Character",1,"Super Rare","I'll Handle This - While this character is at a location, she gets +3{p}.

What's The Hurry? - While this character is at a location, whenever she challenges another character, you may draw a card.",6,0,NA
"86","Sir Hiss - Aggravating Asp","Into the Inklands","Dreamborn, Ally","Evasive","Emerald","",2,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)",1,3,NA
"87","Skippy - Energetic Rabbit","Into the Inklands","Storyborn, Ally","Ward","Emerald","",2,TRUE,"Character",1,"Common","Ward (Opponents can't choose this character except to challenge.)",2,2,NA
"88","Starkey - Devious Pirate","Into the Inklands","Storyborn, Ally, Pirate",NA,"Emerald","",7,TRUE,"Character",3,"Uncommon",NA,6,6,NA
"89","Stitch - Covert Agent","Into the Inklands","Dreamborn, Hero, Alien","Evasive, Ward","Emerald","",5,TRUE,"Character",2,"Rare","Evasive (Only characters with Evasive can challenge this character.)

Hide - While this character is at a location, he gains Ward. (Opponents can't choose them except to challenge.)",3,3,NA
"90","Ursula - Deceiver","Into the Inklands","Storyborn, Villain, Sorcerer",NA,"Emerald","",2,TRUE,"Character",1,"Uncommon","You'll Never Even Miss It - When you play this character, chosen opponent reveals their hand and discards a song card of your choice.",3,1,NA
"91","Ursula - Deceiver of All","Into the Inklands","Dreamborn, Villain, Sorcerer",NA,"Emerald","",3,TRUE,"Character",1,"Legendary","What A Deal - Whenever this character sings a song, you may play that song again from your discard for free, then put it on the bottom of your deck.",3,2,NA
"92","Wildcat - Mechanic","Into the Inklands","Storyborn, Ally","Evasive","Emerald","",3,TRUE,"Character",1,"Uncommon","Evasive (Only characters with Evasive can challenge this character.)

Disassemble - {e}: Banish chosen item.",3,2,NA
"93","Zazu - Steward of the Pride Lands","Into the Inklands","Storyborn, Ally",NA,"Emerald","",1,TRUE,"Character",1,"Common","It's Time To Go! - While this character is at a location, he gets +1{l}.",1,2,NA
"94","Has Set My Heaaaaaaart . . .","Into the Inklands",NA,NA,"Emerald","",2,TRUE,"Action - Song",NA,"Uncommon","(A character with cost 2 or more can {e} to sing this song for free.)

Banish chosen item.",NA,NA,NA
"95","I Will Find My Way","Into the Inklands",NA,NA,"Emerald","",1,TRUE,"Action - Song",NA,"Common","(A character with cost X or more can {e} to sing this song for free.)

Chosen character of yours gets +2{p} this turn. They may move to a location for free.",NA,NA,NA
"96","Strike A Good Match","Into the Inklands",NA,NA,"Emerald","",2,TRUE,"Action - Song",NA,"Common","(A character with cost X or more can {e} to sing this song for free.)

Draw 2 cards, then choose and discard a card.",NA,NA,NA
"97","Airfoil","Into the Inklands",NA,NA,"Emerald","",2,TRUE,"Item",NA,"Common","I Got To Be Going - {e}: If you've played 2 or more actions this turn, draw a card.",NA,NA,NA
"98","Robin's Bow","Into the Inklands",NA,NA,"Emerald","",3,FALSE,"Item",NA,"Uncommon","Forest's Gift - {e}: Deal 1 damage to chosen damaged character or location.

A Bit Of A Lark - Whenever a character of yours named Robin Hood quests, you may ready this item.",NA,NA,NA
"99","Starlight Vial","Into the Inklands",NA,NA,"Emerald","",4,FALSE,"Item",NA,"Rare","Efficient Energy - {e}: You pay 2{i} less for the next action you play this turn.

Trap - 2{i}, Banish this item: Draw 2 cards, then choose and discard a card.",NA,NA,NA
"100","De Vil Manor - Cruella's Estate","Into the Inklands",NA,NA,"Emerald","",1,TRUE,"Location",1,"Common",NA,4,NA,1
"101","Fang - River City","Into the Inklands",NA,"Ward, Evasive","Emerald","",4,TRUE,"Location",2,"Rare","Surrounded By Water - Characters gain Ward and Evasive while here. (Opponents can't choose them except to challenge. Only characters with Evasive can challenge them.)",6,NA,2
"102","Kuzco's Palace - Home of the Emperor","Into the Inklands",NA,NA,"Emerald","",3,TRUE,"Location",1,"Uncommon","City Walls - Whenever a character is challenged and banished while here, banish the challenging character.",7,NA,3
"103","Ariel - Adventurous Collector","Into the Inklands","Dreamborn, Hero, Princess","Evasive","Ruby","",3,TRUE,"Character",1,"Super Rare","Evasive (Only characters with Evasive can challenge this character.)

Inspiring Voice - Whenever you play a song, chosen character of yours gains Evasive until the start of your next turn.",3,2,NA
"104","Billy Bones - Keeper of the Map","Into the Inklands","Storyborn, Alien, Pirate",NA,"Ruby","",5,TRUE,"Character",1,"Common",NA,5,6,NA
"105","Captain Hook - Master Swordsman","Into the Inklands","Dreamborn, Villain, Pirate, Captain","Evasive","Ruby","",5,TRUE,"Character",1,"Rare","Nemesis - During your turn, whenever this character banishes another character in a challenge, ready this character. He can't quest for the rest of this turn.

Man-To-Man - Characters named Peter Pan lose Evasive and can't gain Evasive.",4,5,NA
"106","Della Duck - Unstoppable Mom","Into the Inklands","Storyborn, Ally","Reckless","Ruby","",2,FALSE,"Character",NA,"Common","Reckless (This character can't quest and must challenge each turn if able.)",3,3,NA
"107","HeiHei - Accidental Explorer","Into the Inklands","Storyborn, Ally",NA,"Ruby","",2,TRUE,"Character",1,"Uncommon","Mindless Wandering - Once per turn, when this character moves to a location, each opponent loses 1 lore.",2,3,NA
"108","Hydra - Deadly Serpent","Into the Inklands","Storyborn",NA,"Ruby","",6,FALSE,"Character",2,"Legendary","Watch The Teeth - Whenever this character is dealt damage, deal that much damage to chosen opposing character.",5,6,NA
"109","Jim Hawkins - Space Traveler","Into the Inklands","Storyborn, Hero",NA,"Ruby","",5,TRUE,"Character",2,"Legendary","This Is It! - When you play this character, you may play a location with cost 4 or less for free.

Take The Helm - Whenever you play a location, this character may move there for free.",4,4,NA
"110","Jim Hawkins - Thrill Seeker","Into the Inklands","Dreamborn, Hero",NA,"Ruby","",2,TRUE,"Character",1,"Common",NA,2,3,NA
"111","Kakamora - Menacing Sailor","Into the Inklands","Storyborn, Pirate",NA,"Ruby","",3,FALSE,"Character",1,"Common","Plunder - When you play this character, each opponent loses 1 lore.",2,3,NA
"112","Madame Medusa - The Boss","Into the Inklands","Storyborn, Villain",NA,"Ruby","",6,FALSE,"Character",1,"Super Rare","That Terrible Woman - When you play this character, banish chosen opposing character with 3{p} or less.",4,4,NA
"113","Maui - Soaring Demigod","Into the Inklands","Storyborn, Hero, Deity","Reckless","Ruby","",3,FALSE,"Character",NA,"Uncommon","Reckless (This character can't quest and must challenge each turn if able.)

In Ma Belly - Whenever a character of yours named HeiHei quests, this character gets +1{l} and loses Reckless this turn.",2,5,NA
"114","Maui - Whale","Into the Inklands","Storyborn, Hero, Deity",NA,"Ruby","",7,TRUE,"Character",1,"Rare","This Mission Is Cursed - This character can't ready at the start of your turn.

I Got Your Back - 2{i}: Ready this character. He can't quest for the rest of the turn.",8,8,NA
"115","Milo Thatch - Spirited Scholar","Into the Inklands","Storyborn, Hero",NA,"Ruby","",2,TRUE,"Character",1,"Common","I'm Your Man! - While this character is at a location, he gets +2{p}.",2,2,NA
"116","Moana - Born Leader","Into the Inklands","Floodborn, Hero, Princess, Captain","Shift 3","Ruby","",5,TRUE,"Character",2,"Rare","Shift 3 (You may pay 3{i} to play this on top of one of your characters named Moana.)

Welcome To My Boat - Whenever this character quests while at a location, ready all other characters here, they can't quest for the rest of this turn.",4,4,NA
"117","Moana - Undeterred Voyager","Into the Inklands","Storyborn, Hero, Princess","Evasive","Ruby","",4,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)",4,3,NA
"118","Nutsy - Vulture Henchman","Into the Inklands","Storyborn, Ally",NA,"Ruby","",2,TRUE,"Character",1,"Common",NA,3,2,NA
"119","Peter Pan - Never Land Hero","Into the Inklands","Storyborn, Hero","Rush","Ruby","",3,TRUE,"Character",2,"Common","Rush (This character can challenge the turn they're played.)

Over Here, Tink - While you have a character named Tinker Bell in play, this character gets +2{p}.",3,1,NA
"120","Peter Pan - Pirate's Bane","Into the Inklands","Floodborn, Hero","Shift 4, Evasive","Ruby","",6,TRUE,"Character",2,"Rare","Shift 4 (You may pay 4{i} to play this on top of one of your characters named Peter Pan.)

Evasive (Only characters with Evasive can challenge this character.)

You're Next! - Whenever he challenges a Pirate character, this character takes no damage from the challenge.",5,4,NA
"121","Prince Eric - Expert Helmsman","Into the Inklands","Dreamborn, Hero, Prince",NA,"Ruby","",4,FALSE,"Character",2,"Super Rare","Surprise Maneuver - When this character is banished, you may banish chosen character.",2,2,NA
"122","Scroop - Backstabber","Into the Inklands","Storyborn, Villain, Alien, Pirate",NA,"Ruby","",5,TRUE,"Character",2,"Uncommon","Brute - While this character has damage, he gets +3{p}.",5,2,NA
